R0,3173702.888095,0.041792,3173702.888139,3173702.929954
R1,3173703.117342,0.133472,3173703.117438,3173703.250925
R2,3173703.308392,0.018341,3173703.308457,3173703.326809
R3,3173703.611702,0.121834,3173703.611767,3173703.733614
R4,3173703.662746,0.067281,3173703.733620,3173703.800907
R5,3173703.703429,0.082600,3173703.800910,3173703.883513
R6,3173703.784552,0.060026,3173703.883516,3173703.943546
R7,3173703.841282,0.206605,3173703.943549,3173704.150159
R8,3173704.221457,0.105280,3173704.221523,3173704.326815
R9,3173704.347691,0.077822,3173704.347771,3173704.425603
R10,3173704.366788,0.023187,3173704.425609,3173704.448801
R11,3173704.368849,0.135879,3173704.448805,3173704.584686
R12,3173704.387306,0.042700,3173704.584689,3173704.627391
R13,3173704.408613,0.009600,3173704.627394,3173704.636997
R14,3173704.425997,0.020519,3173704.637000,3173704.657522
R15,3173705.280381,0.152254,3173705.280456,3173705.432723
R16,3173705.370309,0.029252,3173705.432730,3173705.461987
R17,3173705.488865,0.061912,3173705.488945,3173705.550867
R18,3173705.615731,0.300302,3173705.615800,3173705.916114
R19,3173705.700786,0.122966,3173705.916121,3173706.039090
R20,3173705.744047,0.122442,3173706.039093,3173706.161540
R21,3173705.837569,0.185106,3173706.161543,3173706.346653
R22,3173705.901476,0.036214,3173706.346673,3173706.382891
R23,3173705.943121,0.209469,3173706.382894,3173706.592369
R24,3173706.149230,0.248530,3173706.592371,3173706.840905
R25,3173706.158275,0.007499,3173706.840907,3173706.848407
R26,3173706.251598,0.090695,3173706.848410,3173706.939108
R27,3173706.278285,0.035757,3173706.939111,3173706.974870
R28,3173706.554463,0.001686,3173706.974873,3173706.976559
R29,3173706.562759,0.005431,3173706.976562,3173706.981994
R30,3173706.639255,0.293994,3173706.981996,3173707.275994
R31,3173706.673283,0.158606,3173707.275997,3173707.434606
R32,3173706.963903,0.064667,3173707.434609,3173707.499280
R33,3173707.002679,0.119013,3173707.499282,3173707.618300
R34,3173707.061478,0.091816,3173707.618302,3173707.710121
R35,3173707.151300,0.003339,3173707.710124,3173707.713465
R36,3173707.246112,0.223819,3173707.713467,3173707.937289
R37,3173707.318068,0.106364,3173707.937292,3173708.043658
