R0:2910317.279398,0.041792,2910317.279455,2910317.321275
R1:2910317.462815,0.133472,2910317.462854,2910317.596357
R2:2910317.615676,0.018341,2910317.615759,2910317.634122
R3:2910317.858345,0.121834,2910317.858442,2910317.980303
R4:2910317.899199,0.067281,2910317.980315,2910318.047631
R5:2910317.931751,0.082600,2910318.047656,2910318.130280
R6:2910317.996664,0.060026,2910318.130287,2910318.190331
R7:2910318.042064,0.206605,2910318.190340,2910318.396961
R8:2910318.346215,0.105280,2910318.396969,2910318.502261
R9:2910318.447211,0.077822,2910318.502267,2910318.580100
R10:2910318.462503,0.023187,2910318.580105,2910318.603295
R11:2910318.464156,0.135879,2910318.603299,2910318.739188
R12:2910318.478925,0.042700,2910318.739199,2910318.781912
R13:2910318.495975,0.009600,2910318.781922,2910318.791528
R14:2910318.509886,0.020519,2910318.791539,2910318.812066
R15:2910319.193398,0.152254,2910319.193495,2910319.345796
R16:2910319.265361,0.029252,2910319.345815,2910319.375078
R17:2910319.360224,0.061912,2910319.375085,2910319.437015
R18:2910319.461736,0.300302,2910319.461834,2910319.762163
R19:2910319.529796,0.122966,2910319.762179,2910319.885159
R20:2910319.564419,0.122442,2910319.885164,2910320.007628
R21:2910319.639287,0.185106,2910320.007637,2910320.192758
R22:2910319.690480,0.036214,2910320.192767,2910320.229004
R23:2910319.723814,0.209469,2910320.229011,2910320.438495
R24:2910319.888716,0.248530,2910320.438503,2910320.687053
R25:2910319.895965,0.007499,2910320.687060,2910320.694569
R26:2910319.970632,0.090695,2910320.694574,2910320.785285
R27:2910319.992004,0.035757,2910320.785292,2910320.821065
R28:2910320.212955,0.001686,2910320.821070,2910320.822763
R29:2910320.219616,0.005431,2910320.822766,2910320.828209
R30:2910320.280822,0.293994,2910320.828215,2910321.122222
R31:2910320.308095,0.158606,2910321.122229,2910321.280850
R32:2910320.540602,0.064667,2910321.280856,2910321.345539
R33:2910320.571637,0.119013,2910321.345545,2910321.464573
R34:2910320.618682,0.091816,2910321.464578,2910321.556411
R35:2910320.690552,0.003339,2910321.556418,2910321.559768
R36:2910320.766421,0.223819,2910321.559772,2910321.783604
R37:2910320.824007,0.106364,2910321.783613,2910321.889994
R38:2910321.091115,0.111788,2910321.890000,2910322.001802
R39:2910321.124585,0.036419,2910322.001808,2910322.038240
R40:2910321.226764,0.015124,2910322.038244,2910322.053381
R41:2910321.343216,0.176741,2910322.053385,2910322.230140
R42:2910321.401241,0.033415,2910322.230146,2910322.263566
R43:2910321.577988,0.186534,2910322.263570,2910322.450117
R44:2910321.604019,0.096708,2910322.450123,2910322.546843
R45:2910321.647176,0.074024,2910322.546847,2910322.620887
R46:2910321.960625,0.163059,2910322.620893,2910322.783963
R47:2910322.067742,0.214719,2910322.783968,2910322.998704
R48:2910322.125668,0.140512,2910322.998712,2910323.139231
R49:2910322.176510,0.201567,2910323.139237,2910323.340816
R50:2910322.291805,0.020260,2910323.340822,2910323.361091
R51:2910322.357717,0.210611,2910323.361100,2910323.571728
R52:2910322.657826,0.177430,2910323.571734,2910323.749184
R53:2910322.673830,0.047129,2910323.749192,2910323.796332
R54:2910322.776330,0.027498,2910323.796336,2910323.823842
R55:2910322.873013,0.030616,2910323.823847,2910323.854467
R56:2910323.027214,0.021360,2910323.854473,2910323.875848
R57:2910323.086486,0.026941,2910323.875853,2910323.902809
R58:2910323.107282,0.044893,2910323.902818,2910323.947728
R59:2910323.188601,0.197754,2910323.947735,2910324.145500
R60:2910323.207205,0.011230,2910324.145506,2910324.156739
R61:2910323.218107,0.119092,2910324.156743,2910324.275847
R62:2910323.286527,0.227786,2910324.275854,2910324.503660
R63:2910323.704876,0.040266,2910324.503666,2910324.543946
R64:2910323.820249,0.038326,2910324.543950,2910324.582290
R65:2910323.958812,0.022026,2910324.582294,2910324.604326
R66:2910323.993672,0.023355,2910324.604330,2910324.627697
R67:2910324.081514,0.109777,2910324.627702,2910324.737490
R68:2910324.098073,0.131443,2910324.737495,2910324.868952
R69:2910324.111505,0.113898,2910324.868958,2910324.982871
R70:2910324.129453,0.249818,2910324.982877,2910325.232713
R71:2910324.137218,0.061436,2910325.232719,2910325.294171
R72:2910324.142633,0.022877,2910325.294176,2910325.317069
R73:2910324.162035,0.109934,2910325.317073,2910325.427021
R74:2910324.321910,0.285300,2910325.427026,2910325.712345
R75:2910324.428807,0.118834,2910325.712351,2910325.831199
R76:2910324.530842,0.012076,2910325.831205,2910325.843297
R77:2910324.540680,0.006788,2910325.843302,2910325.850104
R78:2910324.614133,0.019082,2910325.850108,2910325.869204
R79:2910324.621406,0.142751,2910325.869209,2910326.011972
R80:2910324.683311,0.117406,2910326.011977,2910326.129399
R81:2910324.768504,0.014312,2910326.129405,2910326.143728
R82:2910324.773860,0.019047,2910326.143732,2910326.162796
R83:2910325.969344,0.011172,2910326.162802,2910326.173988
R84:2910326.190059,0.004631,2910326.190164,2910326.194837
R85:2910326.802000,0.006256,2910326.802102,2910326.808409
R86:2910327.006478,0.213737,2910327.006585,2910327.220358
R87:2910327.006920,0.016575,2910327.220373,2910327.236963
R88:2910327.097044,0.041423,2910327.236969,2910327.278410
R89:2910327.114875,0.142759,2910327.278416,2910327.421190
R90:2910327.359116,0.067004,2910327.421196,2910327.488226
R91:2910327.403632,0.050211,2910327.488243,2910327.538470
R92:2910327.490268,0.008747,2910327.538478,2910327.547228
R93:2910327.606569,0.117992,2910327.606660,2910327.724676
R94:2910327.682275,0.404774,2910327.724690,2910328.129493
R95:2910327.718587,0.175048,2910328.129511,2910328.304582
R96:2910327.804646,0.082609,2910328.304590,2910328.387213
R97:2910327.942426,0.114795,2910328.387222,2910328.502030
R98:2910327.946052,0.216275,2910328.502037,2910328.718332
R99:2910328.125193,0.148173,2910328.718338,2910328.866527
R100:2910328.331791,0.113487,2910328.866533,2910328.980035
R101:2910328.720226,0.342518,2910328.980042,2910329.322578
R102:2910328.953935,0.057307,2910329.322587,2910329.379910
R103:2910329.063890,0.147669,2910329.379915,2910329.527597
R104:2910329.081823,0.006677,2910329.527603,2910329.534285
R105:2910329.301613,0.023756,2910329.534291,2910329.558050
R106:2910329.406531,0.021687,2910329.558056,2910329.579759
R107:2910329.505840,0.031755,2910329.579767,2910329.611539
R108:2910329.626463,0.021935,2910329.626569,2910329.648539
R109:2910329.666353,0.083549,2910329.666439,2910329.750016
R110:2910329.674089,0.087755,2910329.750031,2910329.837807
R111:2910329.699418,0.296387,2910329.837824,2910330.134229
R112:2910329.770907,0.065824,2910330.134237,2910330.200079
R113:2910329.803791,0.010019,2910330.200085,2910330.210119
R114:2910329.930843,0.074818,2910330.210124,2910330.284958
R115:2910329.994631,0.049959,2910330.284964,2910330.334943
R116:2910330.283457,0.156817,2910330.334950,2910330.491778
R117:2910330.324485,0.000270,2910330.491786,2910330.492066
R118:2910330.381514,0.076042,2910330.492070,2910330.568127
R119:2910330.423838,0.022203,2910330.568134,2910330.590349
R120:2910330.602976,0.054968,2910330.603030,2910330.658034
R121:2910330.715545,0.030315,2910330.715587,2910330.745930
R122:2910330.781342,0.016798,2910330.781434,2910330.798266
R123:2910330.905881,0.003477,2910330.905991,2910330.909511
R124:2910331.003148,0.099223,2910331.003258,2910331.102508
R125:2910331.056615,0.084593,2910331.102524,2910331.187137
R126:2910331.168699,0.017009,2910331.187143,2910331.204169
R127:2910331.211365,0.082217,2910331.211454,2910331.293698
R128:2910331.305322,0.033171,2910331.305425,2910331.338621
R129:2910331.436556,0.018826,2910331.436653,2910331.455518
R130:2910331.571459,0.096201,2910331.571556,2910331.667783
R131:2910331.825208,0.024785,2910331.825305,2910331.850120
R132:2910331.931123,0.007644,2910331.931201,2910331.938885
R133:2910332.007174,0.174891,2910332.007264,2910332.182193
R134:2910332.037378,0.008202,2910332.182206,2910332.190431
R135:2910332.153267,0.037399,2910332.190437,2910332.227855
R136:2910332.165080,0.074955,2910332.227862,2910332.302833
R137:2910332.251067,0.028398,2910332.302840,2910332.331245
R138:2910332.360920,0.028351,2910332.361021,2910332.389401
R139:2910332.510459,0.017534,2910332.510528,2910332.528098
R140:2910332.550472,0.000299,2910332.550560,2910332.550887
R141:2910332.966314,0.033557,2910332.966417,2910333.000019
R142:2910333.142019,0.047799,2910333.142111,2910333.189940
R143:2910333.162894,0.209371,2910333.189955,2910333.399360
R144:2910333.481444,0.100075,2910333.481540,2910333.581647
R145:2910333.626236,0.096473,2910333.626328,2910333.722837
R146:2910333.639180,0.124036,2910333.722852,2910333.846918
